Summons_Number,Plate_ID,Registration_State,Plate_Type,Issue_Date,Violation_Code,Vehicle_Body_Type,Vehicle_Make,Vehicle_Color,Vehicle_Year,Violation_Description,Street_Name,Violation_County,Fine_Amount,Month,Month_Name,Quarter,Day_of_Week,Day_Num,Week_Num,Is_Weekend,Fine_Category,Vehicle_Age,Vehicle_Age_Group,Vehicle_Type_Group,Is_OutOfState,State_Group,Plate_Category,Street_Type,Street_Total_Revenue,Street_Ticket_Count,Ticket_Count_Per_Plate,Is_Repeat_Offender,Offender_Tier,Violation_Severity,Is_Avoidable,Data_Completeness_Score,Is_Complete_Record
5954207902,DGB1271,NJ,PAS,2014-05-24,38,van,HYUNDAI,BROWN,2003.0,Failure to Display Muni Meter Receipt,NOSTRAND AVE,Brooklyn,65.0,5.0,May,2.0,Saturday,5.0,21,1,Medium,11.0,11-15,OTHER,1,Tri-State,Passenger,AVE,60875.0,705.0,1.0,0,1-2,Standard,0,36,1
7157381638,JWE2043,NY,OMS,2013-08-27,21,PICK,BMW,ORANGE,2009.0,No Parking - Street Cleaning,JAMAICA AVE,Staten Island,65.0,8.0,August,3.0,Tuesday,1.0,35,0,Medium,5.0,0-5,Commercial,0,NY,Other,AVE,59330.0,692.0,1.0,0,1-2,Standard,1,36,1
3592473405,LDL3141,NY,COM,2013-07-13,40,SUV,TOYOTA,WHITE,2000.0,Fire Hydrant,PARK AVE,Queens,115.0,7.0,July,3.0,Saturday,5.0,28,1,High,14.0,11-15,OTHER,0,NY,Other,AVE,57350.0,660.0,1.0,0,1-2,Safety-Critical,0,36,1
5627932902,FRM0430,NJ,COM,2013-11-18,37,SDN,OTHER,BLACK,2006.0,Expired Muni Meter,PARK AVE,Queens,65.0,11.0,November,4.0,Monday,0.0,47,0,Medium,8.0,6-10,OTHER,1,Tri-State,Other,AVE,57350.0,660.0,1.0,0,1-2,Standard,1,36,1
7650193311,JTW6444,CT,PAS,,20,SUV,OTHER,GREEN,2006.0,No Parking - Day/Time Limits,ATLANTIC AVE,Manhattan,65.0,,,,,,,0,Medium,8.0,6-10,OTHER,1,Tri-State,Passenger,AVE,56870.0,658.0,1.0,0,1-2,Standard,1,29,1
5578260598,,NY,PAS,2013-10-23,19,VAN,CHEVROLET,SILVER,2008.0,No Standing - Bus Stop,GRAND CONCOURSE,Manhattan,115.0,10.0,October,4.0,Wednesday,2.0,43,0,High,6.0,6-10,Commercial,0,NY,Passenger,CONCOURSE,61160.0,714.0,0.0,0,,Standard,1,34,1
3749541399,BBE6038,NY,OMT,,14,SUBN,NISSAN,BLUE,2013.0,No Standing - Day/Time Limits,HILLSIDE AVE,Manhattan,115.0,,,,,,,0,High,1.0,0-5,Passenger,0,NY,Other,AVE,58535.0,679.0,1.0,0,1-2,Standard,1,29,1
2173612708,VZJ7526,NJ,COM,2013-08-22,74,SUV,CHEVROLET,GREEN,2004.0,Missing Required Equipment,BROADWAY,Bronx,65.0,8.0,August,3.0,Thursday,3.0,34,0,Medium,10.0,6-10,OTHER,1,Tri-State,Other,BROADWAY,59700.0,710.0,1.0,0,1-2,Standard,0,36,1
6264622618,RJN7798,UNKNOWN,PAS,,20,SDN,FORD,,2007.0,No Parking - Day/Time Limits,HILLSIDE AVE,Queens,65.0,,,,,,,0,Medium,7.0,6-10,OTHER,1,Other,Passenger,AVE,58535.0,679.0,1.0,0,1-2,Standard,1,28,1
1042362717,MBL2115,NY,PAS,,83,PICK,TOYOTA,BLACK,2009.0,Improper Registration,COLUMBUS AVE,Queens,65.0,,,,,,,0,Medium,5.0,0-5,Commercial,0,NY,Passenger,AVE,54800.0,650.0,1.0,0,1-2,Standard,0,29,1
5160850457,GKG7766,NJ,PAS,2013-08-14,98,VAN,CHEVROLET,GRAY,2013.0,Blocking Intersection,AMSTERDAM AVE,,115.0,8.0,August,3.0,Wednesday,2.0,33,0,High,1.0,0-5,Commercial,1,Tri-State,Passenger,AVE,58295.0,663.0,1.0,0,1-2,Standard,0,35,1
4975575744,PDA0793,UNKNOWN,PAS,2014-04-29,14,SDN,JEEP,RED,,No Standing - Day/Time Limits,LEXINGTON AVE,Staten Island,115.0,4.0,April,2.0,Tuesday,1.0,18,0,High,,,OTHER,1,Other,Passenger,AVE,59390.0,696.0,1.0,0,1-2,Standard,1,33,1
3102895903,NUC6133,NY,PAS,,74,SUV,TOYOTA,BLACK,2008.0,Missing Required Equipment,,Bronx,65.0,,,,,,,0,Medium,6.0,6-10,OTHER,0,NY,Passenger,,,,1.0,0,1-2,Standard,0,25,1
7566833700,ZEF3733,NY,PAS,2013-07-17,74,,MERCEDES,,2006.0,Missing Required Equipment,AMSTERDAM AVE,Manhattan,65.0,7.0,July,3.0,Wednesday,2.0,29,0,Medium,8.0,6-10,OTHER,0,NY,Passenger,AVE,58295.0,663.0,1.0,0,1-2,Standard,0,34,1
9011824906,WAV8172,NJ,PAS,2013-07-16,40,SUV,OTHER,BROWN,2007.0,Fire Hydrant,COLUMBUS AVE,Manhattan,115.0,7.0,July,3.0,Tuesday,1.0,29,0,High,7.0,6-10,OTHER,1,Tri-State,Passenger,AVE,54800.0,650.0,1.0,0,1-2,Safety-Critical,0,36,1
7663823156,LRD7092,NY,PAS,2013-08-17,46,SUV,HONDA,BLACK,2007.0,Double Parking,COLUMBUS AVE,Manhattan,115.0,8.0,August,3.0,Saturday,5.0,33,1,High,7.0,6-10,OTHER,0,NY,Passenger,AVE,54800.0,650.0,1.0,0,1-2,Safety-Critical,0,36,1
3609050672,VJS6568,NY,COM,2013-10-20,21,VAN,HONDA,ORANGE,2005.0,No Parking - Street Cleaning,JAMAICA AVE,Brooklyn,65.0,10.0,October,4.0,Sunday,6.0,42,1,Medium,9.0,6-10,Commercial,0,NY,Other,AVE,59330.0,692.0,1.0,0,1-2,Standard,1,36,1
4850739877,YRP4485,NY,PAS,2013-10-28,71,SDN,AUDI,SILVER,2003.0,Inspection Sticker Expired,FULTON ST,Brooklyn,65.0,10.0,October,4.0,Monday,0.0,44,0,Medium,11.0,11-15,OTHER,0,NY,Passenger,ST,58275.0,675.0,1.0,0,1-2,Standard,1,36,1
