Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Vehicle Color,Vehicle Year,Violation Description,Street Name,Violation County,Fine Amount
5954207902,DGB1271,NJ,PAS,05/24/2014,38,van,HYUNDAI,BROWN,2003,Failure to Display Muni Meter Receipt,NOSTRAND AVE,Brooklyn,
7157381638,JWE2043,NY,OMS,08/27/2013,21,PICK,BMW,ORANGE,2009,No Parking - Street Cleaning,JAMAICA AVE,Staten Island,65
3592473405,LDL3141,NY,COM,07/13/2013,40,SUV,TOYOTA,white,2000,Fire Hydrant,PARK AVE,Queens,115
5627932902,FRM0430,NJ,COM,11/18/2013,37,SDN,KIA,BLACK,2006,Expired Muni Meter,PARK AVE,Queens,65
7650193311,JTW6444,CT,PAS,11/03/13,20,SUV,ACURA,GREEN,2006,No Parking - Day/Time Limits,ATLANTIC AVE,Manhattan,65
5578260598,,NY,PAS,10/23/2013,19,VAN,CHEVROLET,SILVER,2008,No Standing - Bus Stop,GRAND CONCOURSE,Manhattan,115
3749541399,BBE6038,NY,OMT,09/10/13,14,SUBN,NISSAN,BLUE,2013,No Standing - Day/Time Limits,HILLSIDE AVE,Manhattan,115
2173612708,VZJ7526,NJ,COM,08/22/2013,74,SUV,CHEVROLET,GREEN,2004,Missing Required Equipment,BROADWAY,Bronx,-65
6264622618,RJN7798,IL,PAS,06/12/14,20,SDN,FORD,,2007,No Parking - Day/Time Limits,HILLSIDE AVE,Queens,65
1042362717,MBL2115,NY,PAS,04/06/14,83,PICK,TOYOTA,BLACK,2009,Improper Registration,COLUMBUS AVE,Queens,65
5160850457,GKG7766,NJ,PAS,08/14/2013,98,VAN,CHEVROLET,GRAY,2013,Blocking Intersection,AMSTERDAM AVE,,115
4975575744,PDA0793,CA,PAS,04/29/2014,14,SDN,JEEP,RED,9999,No Standing - Day/Time Limits,LEXINGTON AVE,Staten Island,115
3102895903,NUC6133,NY,PAS,02/02/14,74,SUV,TOYOTA,BLACK,2008,Missing Required Equipment,,Bronx,65
7566833700,ZEF3733,NY,PAS,07/17/2013,74,,MERCEDES,,2006,Missing Required Equipment,amsterdam ave,Manhattan,65
9011824906,WAV8172,NJ,PAS,07/16/2013,40,SUV,SUBARU,BROWN,2007,Fire Hydrant,COLUMBUS AVE,Manhattan,115
7663823156,LRD7092,NY,PAS,08/17/2013,46,SUV,HONDA,BLACK,2007,Double Parking,COLUMBUS AVE,Manhattan,115
3609050672,VJS6568,NY,COM,10/20/2013,21,VAN,HONDA,ORANGE,2005,No Parking - Street Cleaning,JAMAICA AVE,Brooklyn,65
4850739877,YRP4485,NY,PAS,10/28/2013,71,SDN,AUDI,SILVER,2003,Inspection Sticker Expired,FULTON ST,Brooklyn,65
6028321870,CKL0647,NY,OMT,03/16/2014,21,SUV,,GREEN,2008,No Parking - Street Cleaning,AMSTERDAM AVE,Brooklyn,65
